City_ID,City,Country,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Current_Description
0,Mataura,NZ,-46.1927,168.8643,59.41,52,33,5.19,scattered clouds
1,Vaini,TO,-21.2,-175.2,75.36,94,100,9.22,moderate rain
2,Selikhino,RU,50.3672,137.4996,2.43,91,100,12.91,overcast clouds
3,Punta Arenas,CL,-53.15,-70.9167,46.51,71,75,9.22,light rain
4,Arraial Do Cabo,BR,-22.9661,-42.0278,72.3,93,100,2.28,overcast clouds
5,Cascais,PT,38.6979,-9.4215,62.51,95,100,11.99,overcast clouds
6,Botevgrad,BG,42.9,23.7833,40.53,83,12,5.12,few clouds
7,Valparaiso,CL,-33.0393,-71.6273,60.44,88,100,9.22,overcast clouds
8,Lebu,CL,-37.6167,-73.65,56.46,92,22,20.29,few clouds
9,Erseke,AL,40.3378,20.6789,38.34,92,89,1.59,overcast clouds
10,Puerto Ayora,EC,-0.7393,-90.3518,71.55,96,51,4.59,broken clouds
11,Busselton,AU,-33.65,115.3333,83.32,41,0,15.48,clear sky
12,Castro,BR,-24.7911,-50.0119,60.13,95,96,7.63,overcast clouds
13,Ostrovnoy,RU,68.0531,39.5131,16.0,90,26,15.39,scattered clouds
14,Port Elizabeth,ZA,-33.918,25.5701,70.32,59,29,4.0,scattered clouds
15,Ushuaia,AR,-54.8,-68.3,44.26,76,100,19.57,light rain
16,Mar Del Plata,AR,-38.0023,-57.5575,66.09,69,99,8.01,overcast clouds
17,Maridi,SS,4.9158,29.4742,81.61,28,11,7.49,few clouds
18,Ponta Do Sol,PT,32.6667,-17.1,67.12,28,83,6.15,broken clouds
19,Iqaluit,CA,63.7506,-68.5145,-21.51,89,6,13.82,clear sky
20,Necochea,AR,-38.5473,-58.7368,62.11,53,100,8.1,overcast clouds
21,Hwange,ZW,-18.3693,26.5019,83.57,50,83,8.61,broken clouds
22,Beringovskiy,RU,63.05,179.3167,-9.72,88,100,16.82,overcast clouds
23,Praia Da Vitoria,PT,38.7333,-27.0667,57.76,98,100,22.28,moderate rain
24,Yago,MX,21.8333,-105.0667,65.71,62,43,2.68,scattered clouds
25,Coihaique,CL,-45.5752,-72.0662,48.81,61,0,3.44,clear sky
26,Butterworth,MY,5.3991,100.3638,89.64,40,20,11.5,few clouds
27,Qaanaaq,GL,77.484,-69.3632,-23.55,72,54,6.55,broken clouds
28,Kholtoson,RU,50.2981,103.3097,8.98,81,28,2.28,scattered clouds
29,Dikson,RU,73.5069,80.5464,-14.69,97,100,20.0,overcast clouds
30,Cape Town,ZA,-33.9258,18.4232,71.11,53,10,13.0,clear sky
31,Hermanus,ZA,-34.4187,19.2345,67.8,50,70,18.61,broken clouds
32,Barrow,US,71.2906,-156.7887,-2.18,78,100,13.8,light snow
33,Laguna,US,38.421,-121.4238,52.05,94,100,20.71,mist
34,Rikitea,PF,-23.1203,-134.9692,77.56,73,75,4.79,broken clouds
35,Kodiak,US,57.79,-152.4072,36.91,100,100,0.0,light rain
36,Araguacu,BR,-12.9306,-49.8264,70.36,97,99,3.24,overcast clouds
37,Henin-Beaumont,FR,50.4167,2.9333,45.16,90,100,14.97,overcast clouds
38,Newport,GB,51.5877,-2.9984,48.69,93,100,23.53,moderate rain
39,East London,ZA,-33.0153,27.9116,68.25,49,28,5.01,scattered clouds
40,Cidreira,BR,-30.1811,-50.2056,65.71,76,0,8.95,clear sky
41,Pevek,RU,69.7008,170.3133,-31.11,100,100,2.82,overcast clouds
42,Cockburn Town,TC,21.4612,-71.1419,78.37,76,0,22.26,clear sky
43,Altay,CN,47.8667,88.1167,18.55,85,100,2.01,overcast clouds
44,Kismayo,SO,-0.3582,42.5454,83.8,60,4,18.07,clear sky
45,Roma,US,43.2128,-75.4557,47.88,77,100,6.91,overcast clouds
46,Alindao,CF,5.0267,21.2088,79.11,31,92,4.85,overcast clouds
47,Albany,US,42.6001,-73.9662,42.53,68,100,2.33,overcast clouds
48,Kavieng,PG,-2.5744,150.7967,80.02,79,97,9.19,moderate rain
49,Provideniya,RU,64.3833,-173.3,-6.83,81,89,11.83,overcast clouds
50,Kapaa,US,22.0752,-159.319,71.92,83,75,8.05,broken clouds
51,Avarua,CK,-21.2078,-159.775,78.85,89,75,3.44,light rain
52,Bluff,NZ,-46.6,168.3333,55.06,62,83,11.14,broken clouds
53,Saint-Augustin,CA,51.226,-58.6502,6.39,90,99,4.81,overcast clouds
54,Sabha,LY,27.0377,14.4283,51.62,44,0,6.02,clear sky
55,Jamestown,US,42.097,-79.2353,53.24,71,100,10.36,overcast clouds
56,Hami,CN,42.8,93.45,23.52,39,10,2.91,clear sky
57,Velsk,RU,61.0701,42.0983,-9.11,100,98,2.06,overcast clouds
58,Victoria,HK,22.2855,114.1577,64.2,61,5,15.01,clear sky
59,Tuktoyaktuk,CA,69.4541,-133.0374,-7.64,99,97,6.62,overcast clouds
60,Najran,SA,17.4924,44.1277,59.38,41,100,4.27,overcast clouds
61,Gboko,NG,7.3179,8.9951,70.11,23,70,13.02,broken clouds
62,Nikolskoye,RU,59.7035,30.7861,30.09,96,100,8.5,snow
63,Srednekolymsk,RU,67.45,153.6833,-43.26,100,85,1.61,overcast clouds
64,Lae,PG,-6.7221,146.9847,81.48,76,100,3.06,overcast clouds
65,Yinchuan,CN,38.4681,106.2731,27.0,22,0,1.05,clear sky
66,Saint-Philippe,RE,-21.3585,55.7679,82.11,76,46,4.81,light rain
67,Pietersburg,ZA,-23.9045,29.4688,66.97,74,92,14.79,overcast clouds
68,Urumqi,CN,43.801,87.6005,7.75,85,68,2.24,mist
69,Barranca,PE,-10.75,-77.7667,68.77,84,100,6.91,overcast clouds
70,Anadyr,RU,64.75,177.4833,-17.9,69,0,11.18,clear sky
71,Butaritari,KI,3.0707,172.7902,81.07,78,64,11.88,broken clouds
72,Biltine,TD,14.5333,20.9167,63.81,22,2,15.7,clear sky
73,Tual,ID,-5.6667,132.75,83.8,75,100,20.24,overcast clouds
74,Virginia Beach,US,36.8529,-75.978,48.22,65,0,0.0,clear sky
75,Atuona,PF,-9.8,-139.0333,78.06,77,43,15.68,scattered clouds
76,Santa Marta,CO,11.2408,-74.199,80.89,70,7,11.99,clear sky
77,Minab,IR,27.1467,57.0801,69.37,26,24,8.66,few clouds
78,Sept-Iles,CA,50.2001,-66.3821,17.06,90,100,5.01,light snow
79,Sitka,US,57.0531,-135.33,44.49,57,100,21.85,light rain
80,Thompson,CA,55.7435,-97.8558,0.97,98,92,3.24,overcast clouds
81,Maragogi,BR,-9.0122,-35.2225,76.12,86,9,6.85,clear sky
82,Santa Cruz,BO,-17.8,-63.1667,71.06,73,75,4.61,broken clouds
83,Padang,ID,-0.9492,100.3543,73.45,68,51,6.96,light rain
84,Hilo,US,19.7297,-155.09,71.33,89,100,3.44,overcast clouds
85,Znamenskoye,RU,57.1281,73.8282,-5.17,98,98,1.63,overcast clouds
86,Inhambane,MZ,-23.865,35.3833,84.27,55,66,5.01,broken clouds
87,Hasaki,JP,35.7333,140.8333,54.28,37,96,1.97,overcast clouds
88,Bambous Virieux,MU,-20.3428,57.7575,79.65,64,0,9.57,clear sky
89,Yellowknife,CA,62.456,-114.3525,6.57,84,100,10.0,overcast clouds
90,Basco,PH,20.4487,121.9702,74.82,77,96,28.61,overcast clouds
91,Kodinsk,RU,58.6881,99.1844,-15.38,94,9,3.58,clear sky
92,Torbay,CA,47.6666,-52.7314,23.58,82,96,5.99,overcast clouds
93,Tabas,IR,33.5959,56.9244,51.08,38,0,1.5,clear sky
94,Olinda,BR,-8.0089,-34.8553,80.33,74,40,8.05,scattered clouds
95,Hobart,AU,-42.8794,147.3294,67.26,67,75,17.27,broken clouds
96,Kruisfontein,ZA,-34.0033,24.7314,67.89,43,12,9.35,few clouds
97,Maldonado,UY,-34.6667,-54.9167,60.22,76,0,7.27,clear sky
98,New Norfolk,AU,-42.7826,147.0587,66.92,53,94,3.0,overcast clouds
99,Port Lincoln,AU,-34.7333,135.8667,66.25,61,0,17.54,clear sky
100,Saint-Joseph,RE,-21.3667,55.6167,81.1,76,41,0.67,light rain
101,Shimoda,JP,34.6667,138.95,50.16,58,12,8.14,few clouds
102,Luderitz,NA,-26.6481,15.1594,76.91,40,0,12.15,clear sky
103,Antipino,RU,57.1068,65.7576,-1.91,99,100,2.57,overcast clouds
104,Carnarvon,AU,-24.8667,113.6333,83.28,58,0,25.08,clear sky
105,Acapulco,MX,16.8634,-99.8901,76.82,78,100,2.3,overcast clouds
106,Caxito,AO,-8.5785,13.6643,80.19,73,99,2.75,overcast clouds
107,Mahebourg,MU,-20.4081,57.7,79.52,65,2,7.47,clear sky
108,Faanui,PF,-16.4833,-151.75,80.78,76,99,15.77,overcast clouds
109,Byron Bay,AU,-28.65,153.6167,69.94,87,93,10.67,light rain
110,Waipawa,NZ,-41.4122,175.5153,55.49,80,100,14.05,overcast clouds
111,Ribeira Grande,PT,38.5167,-28.7,59.77,89,100,15.01,overcast clouds
112,Isangel,VU,-19.55,169.2667,81.41,87,100,16.02,overcast clouds
113,Ozieri,IT,40.586,9.0012,47.57,98,100,5.39,overcast clouds
114,Laibin,CN,23.7,109.2667,56.21,43,76,11.32,broken clouds
115,Kolosovka,RU,56.4678,73.611,-2.72,99,100,3.78,overcast clouds
116,Chokurdakh,RU,70.6333,147.9167,-43.42,99,64,5.79,broken clouds
117,Shetpe,KZ,44.1667,52.1167,34.77,65,10,6.35,clear sky
118,Hamilton,US,39.1834,-84.5333,58.23,68,75,10.36,broken clouds
119,Quesnel,CA,52.9999,-122.5029,17.38,97,25,2.95,scattered clouds
120,Ilulissat,GL,69.2167,-51.1,14.02,85,100,3.44,snow
121,Salalah,OM,17.0151,54.0924,80.69,29,0,19.57,clear sky
122,Constitucion,CL,-35.3333,-72.4167,57.6,75,0,2.57,clear sky
123,Dunedin,NZ,-45.8742,170.5036,59.81,95,88,4.54,overcast clouds
124,Nanortalik,GL,60.1432,-45.2371,16.75,74,2,8.81,clear sky
125,Nome,US,64.5011,-165.4064,8.67,78,100,12.66,overcast clouds
126,Kargalinskaya,RU,43.7417,46.4792,37.4,54,19,3.4,few clouds
127,Saldanha,ZA,-33.0117,17.9442,65.64,52,4,8.01,clear sky
128,Myatlevo,RU,54.8969,35.6762,32.5,99,100,7.34,light snow
129,Port-Gentil,GA,-0.7193,8.7815,80.89,76,100,3.09,overcast clouds
130,Bonthe,SL,7.5264,-12.505,74.44,87,56,4.38,light rain
131,Moose Factory,CA,51.2585,-80.6094,31.98,100,100,3.44,mist
132,Avera,US,33.194,-82.5271,54.91,92,98,4.63,overcast clouds
133,Margate,GB,51.3813,1.3862,48.9,85,100,13.0,overcast clouds
134,Morwell,AU,-38.2333,146.4,76.41,70,100,3.71,light rain
135,Chapleau,CA,47.8405,-83.4034,37.87,100,100,8.95,overcast clouds
136,Bela,IN,25.9333,81.9833,71.08,28,8,2.55,clear sky
137,Chifeng,CN,42.2683,118.9636,26.2,24,0,5.39,clear sky
138,Lata,PT,40.1629,-8.3327,61.07,93,100,8.32,overcast clouds
139,Hay River,CA,60.8156,-115.7999,-1.17,97,88,4.27,overcast clouds
140,Cherskiy,RU,68.75,161.3,-44.63,100,87,3.67,overcast clouds
141,Jiexiu,CN,37.0244,111.9125,35.35,21,0,3.47,clear sky
142,Chuy,UY,-33.6971,-53.4616,56.71,83,0,5.57,clear sky
143,Pocone,BR,-16.2567,-56.6228,72.57,95,100,3.29,heavy intensity rain
144,Kochubey,RU,44.3861,46.5825,36.46,57,97,5.01,overcast clouds
145,Alofi,NU,-19.0595,-169.9187,79.9,78,100,5.61,light rain
146,Half Moon Bay,US,37.4636,-122.4286,56.98,96,100,10.36,overcast clouds
147,Madaoua,NE,14.073,5.96,58.41,30,4,12.44,clear sky
148,Serra Talhada,BR,-7.9919,-38.2983,74.35,69,51,5.08,broken clouds
149,Tautira,PF,-17.7333,-149.15,80.56,76,37,14.25,light rain
150,Ayacucho,PE,-13.1583,-74.2239,54.48,84,84,3.06,broken clouds
151,Georgetown,MY,5.4112,100.3354,89.53,40,20,11.5,few clouds
152,Aklavik,CA,68.2191,-135.0107,-8.79,97,100,5.08,overcast clouds
153,Bredasdorp,ZA,-34.5322,20.0403,66.61,43,98,17.6,overcast clouds
154,Tiksi,RU,71.6872,128.8694,-8.57,96,100,10.47,overcast clouds
155,Cabo San Lucas,MX,22.8909,-109.9124,70.52,71,100,9.33,overcast clouds
156,Rocha,UY,-34.4833,-54.3333,52.57,86,0,7.05,clear sky
157,Butembo,CD,0.15,29.2833,66.74,76,25,2.17,light rain
158,Atasu,KZ,48.6814,71.6433,17.53,96,100,7.81,overcast clouds
159,Varena,LT,54.2167,24.5667,34.72,95,100,6.58,overcast clouds
160,Hualmay,PE,-11.0964,-77.6139,68.94,86,91,8.68,overcast clouds
161,Airai,TL,-8.9266,125.4092,65.39,85,100,5.99,overcast clouds
162,Qingdao,CN,36.0986,120.3719,35.71,26,57,2.66,broken clouds
163,Port Alfred,ZA,-33.5906,26.891,70.18,60,40,1.99,scattered clouds
164,San Rafael Del Sur,NI,11.8485,-86.4384,75.11,77,56,11.83,broken clouds
165,Brigantine,US,39.4101,-74.3646,39.02,87,1,6.55,clear sky
166,Taoudenni,ML,22.6783,-3.9836,64.51,30,99,11.9,overcast clouds
167,Juneau,US,58.3019,-134.4197,33.22,97,100,3.44,snow
168,Plettenberg Bay,ZA,-34.0527,23.3716,65.66,49,7,8.01,clear sky
169,Phuket,TH,8.0,98.25,86.22,48,20,3.44,few clouds
170,Novaya Igirma,RU,57.1334,103.9112,-1.41,93,100,4.41,overcast clouds
171,Nara,JP,34.6851,135.8049,47.91,69,56,7.56,broken clouds
172,Shumskiy,RU,54.8318,99.1328,7.45,87,83,1.74,broken clouds
173,Saskylakh,RU,71.9167,114.0833,-1.16,85,100,22.5,overcast clouds
174,San Patricio,US,28.017,-97.5169,64.83,94,100,4.9,overcast clouds
175,Edgewater,US,28.9889,-80.9023,55.54,76,0,6.06,clear sky
176,Mitsamiouli,KM,-11.3847,43.2844,82.17,71,99,6.04,light rain
177,Namatanai,PG,-3.6667,152.4333,82.22,74,70,9.35,broken clouds
178,Baruun-Urt,MN,46.6806,113.2792,8.11,75,2,14.23,clear sky
