City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bandarbeyla,SO,2022-12-29 21:39:43,9.4942,50.8122,77.11,73,72,19.01
1,Mount Gambier,AU,2022-12-29 21:39:43,-37.8333,140.7667,60.62,65,26,6.85
2,Pevek,RU,2022-12-29 21:39:43,69.7008,170.3133,-22.5,99,100,6.98
3,Nikolskoye,RU,2022-12-29 21:39:44,59.7035,30.7861,26.49,93,100,10.29
4,Lazaro Cardenas,MX,2022-12-29 21:39:44,17.9583,-102.2,81.3,59,100,10.02
5,Husavik,IS,2022-12-29 21:39:45,66.0449,-17.3389,20.34,69,100,18.21
6,Ushuaia,AR,2022-12-29 21:37:42,-54.8,-68.3,46.06,71,75,24.16
7,Katsuura,JP,2022-12-29 21:39:45,35.1333,140.3,45.95,54,99,12.35
8,Cape Town,ZA,2022-12-29 21:35:00,-33.9258,18.4232,63.1,59,0,31.07
9,Punta Arenas,CL,2022-12-29 21:38:42,-53.15,-70.9167,55.51,47,20,31.07
10,East London,ZA,2022-12-29 21:39:46,-33.0153,27.9116,62.55,76,89,11.86
11,Alihe,CN,2022-12-29 21:39:46,50.5667,123.7167,-5.98,92,83,2.82
12,New Norfolk,AU,2022-12-29 21:39:47,-42.7826,147.0587,60.93,55,1,1.99
13,Airai,TL,2022-12-29 21:39:47,-8.9266,125.4092,60.46,97,100,5.28
14,Bengkulu,ID,2022-12-29 21:39:48,-3.8004,102.2655,73.98,84,100,5.1
15,Russell,US,2022-12-29 21:39:48,32.3502,-85.1999,72.68,38,0,11.5
16,Codrington,AU,2022-12-29 21:39:48,-38.2667,141.9667,61.12,79,85,5.48
17,Tasiilaq,GL,2022-12-29 21:39:49,65.6145,-37.6368,6.96,62,90,3.69
18,Acarau,BR,2022-12-29 21:39:49,-2.8856,-40.12,79.88,79,10,12.62
19,Nome,US,2022-12-29 21:35:53,64.5011,-165.4064,-3.93,77,0,6.91
20,Caravelas,BR,2022-12-29 21:39:49,-17.7125,-39.2481,76.19,86,37,6.8
21,Sitka,US,2022-12-29 21:39:50,57.0531,-135.33,44.49,53,40,11.5
22,Sistranda,NO,2022-12-29 21:39:50,63.7256,8.834,40.96,73,100,24.16
23,Sumenep,ID,2022-12-29 21:39:51,-7.0167,113.8667,77.41,90,100,17.85
24,Bratca,RO,2022-12-29 21:39:51,46.9333,22.6167,45.05,80,100,8.7
25,El Seibo,DO,2022-12-29 21:39:52,18.7641,-69.0375,83.73,86,1,9.51
26,Souillac,MU,2022-12-29 21:39:52,-20.5167,57.5167,77.38,78,40,2.3
27,Rikitea,PF,2022-12-29 21:39:53,-23.1203,-134.9692,78.24,67,54,4.25
28,Shakawe,BW,2022-12-29 21:39:53,-18.3667,21.85,77.7,48,40,3.78
29,Hobart,AU,2022-12-29 21:39:53,-42.8794,147.3294,61.27,70,20,6.91
30,Hithadhoo,MV,2022-12-29 21:39:54,-0.6,73.0833,79.66,72,2,2.75
31,Itaituba,BR,2022-12-29 21:39:54,-4.2761,-55.9836,77.16,94,75,2.3
32,Kalawit,PH,2022-12-29 21:39:55,8.0667,122.5167,76.06,90,60,4.14
33,Hermanus,ZA,2022-12-29 21:39:55,-34.4187,19.2345,57.79,61,73,16.2
34,Albany,US,2022-12-29 21:35:23,42.6001,-73.9662,40.64,68,10,2.46
35,Moron,AR,2022-12-29 21:39:56,-34.6534,-58.6198,86.81,41,5,8.3
36,Aksha,RU,2022-12-29 21:39:56,50.2814,113.2867,-5.21,97,99,3.71
37,Bluff,NZ,2022-12-29 21:39:56,-46.6,168.3333,55.72,54,5,3.74
38,Bredasdorp,ZA,2022-12-29 21:39:57,-34.5322,20.0403,60.42,55,13,9.53
39,Paamiut,GL,2022-12-29 21:39:57,61.994,-49.6678,10.89,68,0,8.86
40,Butaritari,KI,2022-12-29 21:39:57,3.0707,172.7902,81.12,73,13,11.77
41,Atuona,PF,2022-12-29 21:39:58,-9.8,-139.0333,78.48,72,14,16.71
42,Sayan,PE,2022-12-29 21:39:58,-11.1361,-77.1933,70.86,81,100,5.03
43,Yellowknife,CA,2022-12-29 21:35:36,62.456,-114.3525,7.32,85,100,9.22
44,Marawi,PH,2022-12-29 21:39:59,7.9986,124.2928,67.93,93,84,2.64
45,Payson,US,2022-12-29 21:39:59,40.0444,-111.7321,37.29,70,0,1.01
46,Havre,FR,2022-12-29 21:39:59,49.5833,0.3333,46.17,81,0,13.8
47,Vaini,TO,2022-12-29 21:41:00,-21.2,-175.2,73.56,88,100,9.22
48,Qaanaaq,GL,2022-12-29 21:41:00,77.484,-69.3632,-23.3,74,38,5.93
49,Thompson,CA,2022-12-29 21:41:00,55.7435,-97.8558,5.16,85,75,6.91
50,Busselton,AU,2022-12-29 21:41:01,-33.65,115.3333,58.51,80,0,11.59
51,Meulaboh,ID,2022-12-29 21:41:01,4.1363,96.1285,73.45,90,59,4.56
52,Bumba,CD,2022-12-29 21:41:02,2.1833,22.4667,72.25,51,80,0.54
53,Egvekinot,RU,2022-12-29 21:41:02,66.3167,-179.1667,-15.88,86,31,10.33
54,Eureka,US,2022-12-29 21:41:02,40.8021,-124.1637,56.25,87,100,1.99
55,Cabo San Lucas,MX,2022-12-29 21:41:03,22.8909,-109.9124,80.62,64,75,13.8
56,Guantanamo,CU,2022-12-29 21:41:03,20.1444,-75.2092,83.77,43,10,9.6
57,Mitsamiouli,KM,2022-12-29 21:41:04,-11.3847,43.2844,81.03,75,10,5.91
58,Kodiak,US,2022-12-29 21:41:04,57.79,-152.4072,38.71,93,100,26.46
59,Dikson,RU,2022-12-29 21:41:05,73.5069,80.5464,-17.9,100,100,16.08
60,Shamkhal,RU,2022-12-29 21:41:05,43.0596,47.3373,28.38,63,65,2.08
61,Longyearbyen,SJ,2022-12-29 21:41:06,78.2186,15.6401,22.84,68,75,10.36
62,Sobolevo,RU,2022-12-29 21:41:06,54.4299,31.8996,32.67,99,100,10.0
63,Ust-Katav,RU,2022-12-29 21:41:07,54.9369,58.1656,9.18,95,100,3.27
64,Kloulklubed,PW,2022-12-29 21:41:07,7.0419,134.2556,73.9,80,86,12.55
65,Kirakira,SB,2022-12-29 21:41:08,-10.4544,161.9205,82.71,78,100,6.78
66,Magalia,US,2022-12-29 21:41:08,39.8121,-121.5783,42.35,88,100,1.99
67,Saint George,US,2022-12-29 21:40:58,37.1041,-113.5841,41.43,65,100,1.99
68,Yaan,NG,2022-12-29 21:41:08,7.3833,8.5667,79.34,20,17,9.8
69,Jamestown,US,2022-12-29 21:37:32,42.097,-79.2353,49.64,71,75,14.97
70,Emerald,AU,2022-12-29 21:41:09,-23.5333,148.1667,75.34,66,50,7.18
71,Te Anau,NZ,2022-12-29 21:40:58,-45.4167,167.7167,56.32,61,77,4.0
72,Puerto Penasco,MX,2022-12-29 21:37:14,31.3167,-113.5333,63.43,75,100,17.87
73,Antofagasta,CL,2022-12-29 21:41:10,-23.65,-70.4,69.08,71,22,8.57
74,Lagoa,PT,2022-12-29 21:41:10,39.05,-27.9833,62.74,82,100,36.55
75,Saint-Joseph,RE,2022-12-29 21:41:11,-21.3667,55.6167,73.78,82,20,4.68
76,Kaitangata,NZ,2022-12-29 21:41:11,-46.2817,169.8464,59.45,49,6,8.68
77,Mpraeso,GH,2022-12-29 21:41:12,6.5932,-0.7346,71.87,44,69,2.08
78,Erenhot,CN,2022-12-29 21:41:12,43.6475,111.9767,9.57,46,0,10.42
79,Kavaratti,IN,2022-12-29 21:41:13,10.5669,72.642,80.71,77,54,5.88
80,Barrow,US,2022-12-29 21:37:15,71.2906,-156.7887,-5.78,77,100,17.27
81,Chapais,CA,2022-12-29 21:41:13,49.7834,-74.8492,20.98,99,100,7.36
82,Clyde River,CA,2022-12-29 21:39:04,70.4692,-68.5914,-21.77,76,0,5.75
83,Rey Bouba,CM,2022-12-29 21:41:14,8.6724,14.1786,68.83,27,8,0.85
84,Inhambane,MZ,2022-12-29 21:41:14,-23.865,35.3833,78.42,70,83,10.0
85,Banda Aceh,ID,2022-12-29 21:41:15,5.5577,95.3222,76.55,83,99,8.97
86,Zadar,HR,2022-12-29 21:41:14,44.1197,15.2422,54.21,94,40,8.05
87,Hasaki,JP,2022-12-29 21:41:15,35.7333,140.8333,32.4,50,99,10.78
88,Kralendijk,BQ,2022-12-29 21:41:16,12.15,-68.2667,82.38,74,40,13.8
89,Grindavik,IS,2022-12-29 21:41:16,63.8424,-22.4338,21.67,68,40,16.11
90,Ancud,CL,2022-12-29 21:41:16,-41.8697,-73.8203,60.62,74,80,6.98
91,Mataura,NZ,2022-12-29 21:41:17,-46.1927,168.8643,60.06,45,30,4.65
92,Plessisville,CA,2022-12-29 21:39:15,46.2186,-71.762,28.63,96,100,3.18
93,Khatanga,RU,2022-12-29 21:41:17,71.9667,102.5,-19.23,98,100,11.21
94,Kyzyl-Suu,KG,2022-12-29 21:41:18,42.3414,78.0056,24.58,64,100,5.64
95,Tura,IN,2022-12-29 21:42:18,25.5198,90.2201,53.44,73,15,3.44
96,Gainesville,US,2022-12-29 21:42:18,29.6516,-82.3248,72.01,52,0,10.36
97,San Patricio,US,2022-12-29 21:42:19,28.017,-97.5169,78.89,72,100,5.1
98,Hofn,IS,2022-12-29 21:42:19,64.2539,-15.2082,17.28,66,6,19.26
99,Sao Jose Do Belmonte,BR,2022-12-29 21:42:21,-7.8614,-38.7597,82.24,41,42,4.68
100,Barinas,VE,2022-12-29 21:42:22,8.6226,-70.2075,87.84,48,100,4.61
101,Kabo,CF,2022-12-29 21:42:22,7.6994,18.629,71.04,24,41,5.68
102,Olinda,BR,2022-12-29 21:42:22,-8.0089,-34.8553,82.13,74,75,6.91
103,Fare,PF,2022-12-29 21:42:23,-16.7,-151.0167,81.23,73,8,15.7
104,Hilo,US,2022-12-29 21:42:23,19.7297,-155.09,81.25,75,75,11.99
105,Puerto Ayora,EC,2022-12-29 21:42:24,-0.7393,-90.3518,78.76,94,78,4.0
106,Vila Velha,BR,2022-12-29 21:42:24,-20.3297,-40.2925,80.55,86,0,17.27
107,Kapaa,US,2022-12-29 21:42:24,22.0752,-159.319,80.47,72,20,5.75
108,Hamilton,US,2022-12-29 21:42:21,39.1834,-84.5333,60.24,67,100,11.5
109,Nalut,LY,2022-12-29 21:42:25,30.3333,10.85,53.62,33,26,8.66
110,Terrace,CA,2022-12-29 21:42:26,54.5163,-128.6035,30.11,93,100,13.8
111,Kuli,RU,2022-12-29 21:42:26,42.0185,47.2434,20.25,53,28,7.4
112,Severo-Kurilsk,RU,2022-12-29 21:42:26,50.6789,156.125,25.79,88,100,11.74
113,Portland,US,2022-12-29 21:41:33,45.5234,-122.6762,49.08,95,100,11.5
114,Tuatapere,NZ,2022-12-29 21:42:27,-46.1333,167.6833,58.03,52,7,6.76
115,Taoudenni,ML,2022-12-29 21:42:27,22.6783,-3.9836,70.43,21,100,10.4
116,Victoria,HK,2022-12-29 21:40:00,22.2855,114.1577,57.25,72,12,11.01
117,Merauke,ID,2022-12-29 21:42:28,-8.4667,140.3333,76.73,90,100,8.5
118,Flinders,AU,2022-12-29 21:42:28,-34.5833,150.8552,65.17,92,100,7.0
119,Zhangye,CN,2022-12-29 21:42:29,38.9342,100.4517,17.65,32,0,1.57
120,Biltine,TD,2022-12-29 21:42:29,14.5333,20.9167,62.4,24,0,14.03
121,Avarua,CK,2022-12-29 21:42:30,-21.2078,-159.775,75.25,94,75,5.75
122,Luba,GQ,2022-12-29 21:42:30,3.4568,8.5547,80.55,80,97,5.12
123,Deputatskiy,RU,2022-12-29 21:42:31,69.3,139.9,-36.81,99,68,4.36
124,Lynn Haven,US,2022-12-29 21:42:31,30.2455,-85.6483,73.51,57,0,9.22
125,Rio Gallegos,AR,2022-12-29 21:42:31,-51.6226,-69.2181,59.05,31,75,42.57
126,Esperance,AU,2022-12-29 21:42:32,-33.8667,121.9,61.95,73,0,11.18
127,Bereda,ES,2022-12-29 21:42:32,43.2686,-7.5406,54.41,100,100,8.97
128,Moose Factory,CA,2022-12-29 21:42:33,51.2585,-80.6094,32.0,93,100,2.3
129,Tateyama,JP,2022-12-29 21:42:33,34.9833,139.8667,45.1,54,94,11.01
130,Mandera,KE,2022-12-29 21:42:33,3.9366,41.867,80.8,30,22,9.37
131,Belaya Gora,RU,2022-12-29 21:42:34,68.5333,146.4167,-18.35,98,100,7.18
132,Bilma,NE,2022-12-29 21:42:34,18.6853,12.9164,59.7,31,0,8.7
133,Beira,MZ,2022-12-29 21:39:04,-19.8436,34.8389,78.89,83,0,8.05
134,The Pas,CA,2022-12-29 21:42:34,53.8251,-101.2541,1.42,71,100,6.91
135,Challapata,BO,2022-12-29 21:42:35,-18.9,-66.7667,60.17,39,98,14.38
136,Cherskiy,RU,2022-12-29 21:42:35,68.75,161.3,-43.62,100,92,3.98
137,Hoi An,VN,2022-12-29 21:42:36,15.8794,108.335,66.16,88,100,10.92
138,Vestmannaeyjar,IS,2022-12-29 21:42:36,63.4427,-20.2734,21.36,64,11,22.77
139,Awjilah,LY,2022-12-29 21:42:36,29.1081,21.2869,58.48,69,1,6.55
140,Zaysan,KZ,2022-12-29 21:42:37,47.4667,84.8667,14.63,95,100,3.53
141,Tiksi,RU,2022-12-29 21:43:37,71.6872,128.8694,-8.36,98,100,9.8
142,Saint-Louis,SN,2022-12-29 21:43:38,16.3333,-15.0,69.71,61,53,3.44
143,Satellite Beach,US,2022-12-29 21:43:38,28.1761,-80.5901,77.02,68,0,11.5
144,Sao Joao Da Barra,BR,2022-12-29 21:43:38,-21.6403,-41.0511,80.69,92,90,4.18
145,Asau,RO,2022-12-29 21:43:39,46.4333,26.4,27.52,68,92,7.07
146,Kenai,US,2022-12-29 21:43:39,60.5544,-151.2583,28.45,86,0,18.41
147,Kazachinskoye,RU,2022-12-29 21:43:39,57.6953,93.2761,-15.95,100,83,2.26
148,Arraial Do Cabo,BR,2022-12-29 21:43:40,-22.9661,-42.0278,75.16,94,75,12.66
149,Sao Jose Da Coroa Grande,BR,2022-12-29 21:43:40,-8.8978,-35.1478,78.15,83,100,8.93
150,Lata,PT,2022-12-29 21:43:41,40.1629,-8.3327,61.07,95,100,11.32
151,Faya,SA,2022-12-29 21:43:41,18.3851,42.4509,53.71,81,45,4.7
152,Freetown,SL,2022-12-29 21:43:41,8.484,-13.2299,78.31,75,100,5.91
153,Aviles,ES,2022-12-29 21:39:39,43.5547,-5.9248,53.19,98,75,4.61
154,Geraldton,AU,2022-12-29 21:43:42,-28.7667,114.6,61.21,82,75,5.75
155,Chokurdakh,RU,2022-12-29 21:43:42,70.6333,147.9167,-38.52,100,99,6.6
156,Lorengau,PG,2022-12-29 21:43:43,-2.0226,147.2712,78.87,84,99,7.7
157,Marzuq,YE,2022-12-29 21:43:43,14.4,46.4667,60.26,52,6,3.22
158,Puerto Narino,CO,2022-12-29 21:43:44,-3.7703,-70.3831,78.55,91,82,2.08
159,Saskylakh,RU,2022-12-29 21:43:44,71.9167,114.0833,-2.92,86,100,23.69
160,Alpinopolis,BR,2022-12-29 21:43:44,-20.8636,-46.3881,66.18,96,100,1.68
161,Moses Lake,US,2022-12-29 21:43:45,47.1301,-119.2781,35.96,80,100,3.44
162,Fez,MA,2022-12-29 21:39:35,34.0372,-4.9998,48.45,71,0,6.91
163,Ciudad Bolivar,VE,2022-12-29 21:43:45,8.1222,-63.5497,85.24,51,24,11.79
164,Port Lincoln,AU,2022-12-29 21:43:46,-34.7333,135.8667,61.0,65,0,14.05
165,Praia Da Vitoria,PT,2022-12-29 21:43:46,38.7333,-27.0667,62.85,88,75,29.91
166,Sept-Iles,CA,2022-12-29 21:41:53,50.2001,-66.3821,17.6,78,100,5.75
167,Gejiu,CN,2022-12-29 21:43:47,23.306,103.1635,36.61,95,99,1.9
168,Udachnyy,RU,2022-12-29 21:43:47,66.4167,112.4,-25.42,99,100,6.04
